epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.19318,3.60159,8.99786,0.01279,0,0,0,0,2.65661,7.83683,0.01103,0.00018,0.00018,0.00018
2,10.8785,3.31848,7.33131,0.01018,0,0,0,0,2.80315,7.91268,0.01274,0.000379248,0.000379248,0.000379248
3,14.2542,2.85891,7.21308,0.00824,0,0,0,0,2.54695,7.45058,0.00993,0.000577703,0.000577703,0.000577703
4,17.9591,2.84241,5.7971,0.00757,0,0,0,0,2.72694,7.58278,0.0106,0.000775367,0.000775367,0.000775367
5,21.8459,2.81204,6.00413,0.00797,0,0,0,0,2.45176,7.17407,0.00979,0.000972238,0.000972238,0.000972238
6,25.4155,2.86388,5.42779,0.0077,0.00019,0.025,0.00012,5e-05,2.67255,7.16132,0.00995,0.00116832,0.00116832,0.00116832
7,28.8833,2.79475,5.04676,0.00695,0.00037,0.05,0.00032,8e-05,2.78322,7.30905,0.0104,0.00136361,0.00136361,0.00136361
8,32.4681,2.81761,5.11863,0.00717,0.00056,0.075,0.00273,0.0015,2.07156,6.89421,0.00787,0.0015581,0.0015581,0.0015581
9,36.0015,2.62069,4.31744,0.00668,0.00056,0.075,0.00048,0.00017,2.44017,7.04096,0.00926,0.0017518,0.0017518,0.0017518
10,39.3538,2.58073,4.38366,0.00641,0.00278,0.375,0.01489,0.0038,2.42164,6.31417,0.00874,0.00194472,0.00194472,0.00194472
11,43.2012,2.71919,4.60603,0.00704,0.0037,0.5,0.04441,0.01154,2.23131,6.24644,0.00851,0.0019604,0.0019604,0.0019604
12,47.0415,2.49247,4.45742,0.00689,0.14868,0.15,0.06693,0.01858,2.20345,5.83277,0.00842,0.00195644,0.00195644,0.00195644
13,50.8882,2.68086,4.50276,0.00692,0.15295,0.05,0.06287,0.01561,2.53839,5.95771,0.01065,0.00195248,0.00195248,0.00195248
14,54.1132,2.58229,4.25132,0.00703,0.1342,0.05,0.07178,0.02538,2.2725,5.13551,0.00893,0.00194852,0.00194852,0.00194852
15,59.1581,2.60126,3.85542,0.00626,0.33146,0.1,0.10227,0.0307,2.2525,4.71762,0.00829,0.00194456,0.00194456,0.00194456
16,65.3979,2.49613,3.80613,0.00666,0.29586,0.125,0.12513,0.02964,2.30819,4.52933,0.00839,0.0019406,0.0019406,0.0019406
17,71.7624,2.46885,3.6796,0.00663,0.35611,0.125,0.10858,0.03431,2.64813,4.29418,0.01031,0.00193664,0.00193664,0.00193664
18,78.3888,2.55859,3.60604,0.00694,0.20047,0.1,0.10011,0.03059,2.27753,4.14065,0.00869,0.00193268,0.00193268,0.00193268
19,84.8957,2.55661,3.67676,0.00653,0.06374,0.15,0.05626,0.01438,2.26,4.18418,0.00886,0.00192872,0.00192872,0.00192872
20,91.3256,2.46802,3.56168,0.00686,0.07921,0.175,0.06512,0.01674,2.16906,3.83677,0.00822,0.00192476,0.00192476,0.00192476
21,97.8258,2.4331,3.52915,0.00669,0.13441,0.2,0.11757,0.02809,2.30155,3.64163,0.0088,0.0019208,0.0019208,0.0019208
22,104.674,2.46477,3.3123,0.00651,0.19197,0.175,0.10086,0.02955,2.21866,3.39387,0.00871,0.00191684,0.00191684,0.00191684
23,111.368,2.46861,3.35863,0.0069,0.1658,0.2,0.12259,0.03499,2.43798,3.27384,0.0093,0.00191288,0.00191288,0.00191288
24,118.028,2.44257,3.54594,0.00659,0.21656,0.2,0.20323,0.05695,2.4532,3.28268,0.00903,0.00190892,0.00190892,0.00190892
25,124.784,2.42224,3.32183,0.00653,0.2117,0.20827,0.16002,0.04379,2.30661,3.36086,0.00882,0.00190496,0.00190496,0.00190496
